Nom,Autres Noms,Longitude,Latitude,Empire,start_year,end_year
Mylapore,"Mayilāppūr, Meliapor, Mylapur, São Tomé de Meliapor",13.03162778,80.27730278,Portugal,1523,1749
Mylapore,"Mayilāppūr, Meliapor, Mylapur, São Tomé de Meliapor",13.03162778,80.27730278,Great-Britain,1750,1914
Nagapattinam,"Nagapatnam, Negapatam, Negapatnam, Negapatão, Port of the Coromandel Coast",10.783651,79.841903,Portugal,1642,1658
Nagapattinam,"Nagapatnam, Negapatam, Negapatnam, Negapatão, Port of the Coromandel Coast",10.783651,79.841903,Netherlands,1662,1781
Nagapattinam,"Nagapatnam, Negapatam, Negapatnam, Negapatão, Port of the Coromandel Coast",10.783651,79.841903,Great-Britain,1782,1845
Nagasaki,Nagasáqui,32.75,129.88333,Portugal,1543,1639
Nagasaki,Nagasáqui,32.75,129.88333,Netherlands,1640,1853
Negombo,Nīrkoḻumpu,7.2083,79.8358,Portugal,1505,1658
Negombo,Nīrkoḻumpu,7.2083,79.8358,Netherlands,1659,1796
Negombo,Nīrkoḻumpu,7.2083,79.8358,Great-Britain,1797,1948
Nizampatnam,"Petapoli, Petapoly",15.90489,80.66858,Great-Britain,1621,1687
Padang,,-0.94924,100.35427,Netherlands,1663,1780
Padang,,-0.94924,100.35427,Great-Britain,1781,1784
Padang,,-0.94924,100.35427,Netherlands,1785,1795
Padang,,-0.94924,100.35427,Great-Britain,1796,1819
Padang,,-0.94924,100.35427,Netherlands,1820,1942
Palembang,,-2.91673,104.7458,Netherlands,1619,1942
Pante Makasar,"Pante Macassar, Vila Taveiro",-9.2,124.38333,Portugal,1700,1769
Parangipettai,Porto Novo,11.49117,79.76053,Sweden,1733,1734
Parangipettai,Porto Novo,11.49117,79.76053,Great-Britain,1735,1801
Pate,Pate Town,-2.14208,40.99777,Portugal,1506,1587
Patna,,25.59408,85.13563,Portugal,1515,1619
Patna,,25.59408,85.13563,Great-Britain,1620,1793
Pemba,"El Huthera, Ilha de Pemba, Pemba Island, Pemba Kisiwani",-5.16667,39.8,Portugal,1792,1975
Penang,"Pulau Pinang, Pulo Pennang, Pulo Pinang",5.37292,100.24963,Great-Britain,1786,1941
Phnom Pehn,"Columpe, Krong Chaktomuk, Nam Van, Nam-Vang, Nom Pen",11.56245,104.91601,France,1863,1953
Pontianak,,-0.03194,109.325,Netherlands,1773,1942
Puducherry,Pondicherry,11.93381,79.82979,France,1674,1954
Pulicat,Palaverkadu,13.41612,80.31685,Portugal,1502,1609
Pulicat,Palaverkadu,13.41612,80.31685,Netherlands,1610,1825
Pulicat,Palaverkadu,13.41612,80.31685,Great-Britain,1826,1968
Qalhat,"Calaiate, Kalhat",22.69956,59.36938,Portugal,1507,1555
Qeshm,"Bandar-e Qeshm, Gheshm, Keshm, Qishm, Queixime",26.96032,56.277331,Safavid,1622,1800
Quelimane,"Kelimane, Kelimaneh, Kelimanė, Killimani",-17.87861,36.88833,Portugal,1498,1853
Quirimba Island,Ilha Quirimba,-25.975035,32.570654,Portugal,1575,1975
Qurayyat,"Coriate, Curiate, Gurayat, Kuriyat",23.106,58.925,Portugal,1546,1686
Rajapur,,16.65679,73.51701,Great-Britain,1637,1682
Ras al-Khaimah,"Julfa, Julfar, Julufar, al Matãf",25.78953,55.9432,Great-Britain,1819,1971
Sambas,,1.33333,109.25,Great-Britain,1813,1820
Sena,São Marçal de Sena,-17.44167,35.02722,Portugal,1521,1969
Serampore,Shrirampur,22.75278,88.34222,Denmark,1755,1845
Serampore,Shrirampur,22.75278,88.34222,Great-Britain,1854,1947
Shiraz,Chiraz,29.61031,52.53113,Safavid,1501,1722
Singapore,,1.28967,103.85007,Great-Britain,1819,1963
Socotra,"Sacotra, Soqatra",12.50228,53.82065,Portugal,1507,1511
Socotra,"Sacotra, Soqatra",12.50228,53.82065,Great-Britain,1886,1967
Sofala,"Cofala, Nova Sofala, Sofala, Çofala",-20.15572,34.73658,Portugal,1505,1700
Sukadana,Soekadana,-5.1181,103.84475,Netherlands,1609,1750
Sulawesi,Celebes,-2.13154,120.28888,Portugal,1523,1605
Sulawesi,Celebes,-2.13154,120.28888,Netherlands,1606,1949
Surat,,21.19594,72.83023,Netherlands,1616,1825
Syriam,,16.76887,96.24503,Portugal,1599,1613
Tangasseri,"Coulão, Kollam, Quilon",8.88,76.6,Portugal,1502,1517
Tangasseri,"Coulão, Kollam, Quilon",8.88,76.6,Netherlands,1661,1795
Tangasseri,"Coulão, Kollam, Quilon",8.88,76.6,Great-Britain,1796,1947
Tanur,"Tanniyurnagaram, Tanor, Tanore",10.98317,75.869,Portugal,1550,1571
Tanur,"Tanniyurnagaram, Tanor, Tanore",10.98317,75.869,Great-Britain,1792,1947
Tarut,Tarout,26.577544,50.086831,Portugal,1521,1551
Tellicherry,"Tellicherri, Thalassery",11.74811,75.4929,Great-Britain,1683,1947
Ternate,,0.8140297,127.38816,Portugal,1522,1575
Ternate,,0.8140297,127.38816,Spain,1606,1663
Ternate,,0.8140297,127.38816,Netherlands,1664,1949
Tete,"Tetė, Vila-de-Santiago-Maior",-16.15750901,33.587015,Portugal,1531,1975
Thane,Thana,19.172431,72.957019,Portugal,1534,1661
Thane,Thana,19.172431,72.957019,Great-Britain,1662,1857
Thanlyin,,16.78195,96.24678,Portugal,1599,1613
Tharangambadi,Tranquebar,11.02764,79.85425,Denmark,1620,1845
Tharangambadi,Tranquebar,11.02764,79.85425,Great-Britain,1846,1947
Thatta,Tatta,24.74745,67.92353,Portugal,1520,1555
Thatta,Tatta,24.74745,67.92353,Moghol,1592,1651
Thatta,Tatta,24.74745,67.92353,Netherlands,1652,1660
Thatta,Tatta,24.74745,67.92353,Moghol,1661,1736
Thoothukudi,"Titicorin, Tuticorin",8.76735,78.13425,Portugal,1548,1658
Thoothukudi,"Titicorin, Tuticorin",8.76735,78.13425,Netherlands,1659,1825
Thoothukudi,"Titicorin, Tuticorin",8.76735,78.13425,Great-Britain,1825,1947
Tidore,Pulau Tidore,0.68874,127.41141,Spain,1520,1663
Tidore,Pulau Tidore,0.68874,127.41141,Netherlands,1664,1949
Timor,,-8.83333,126.0,Portugal,1515,1975
Tonkin,"Tokin, Tongkin, Tongking, Tonquin",22.0,105.0,France,1883,1945
Trincomalee,"Trincomale, Trinquemalay, Trinquinimale, Trynkamali",8.575278,81.241389,Portugal,1580,1622
Trincomalee,"Trincomale, Trinquemalay, Trinquinimale, Trynkamali",8.575278,81.241389,Netherlands,1639,1796
Trincomalee,"Trincomale, Trinquemalay, Trinquinimale, Trynkamali",8.575278,81.241389,Great-Britain,1797,1947
Vasai,"Bassai, Bassein, Baçaim",19.330667,72.814111,Portugal,1534,1739
Vengurla,,15.86125,73.63182,Netherlands,1665,1795
Vengurla,,15.86125,73.63182,Great-Britain,1796,1947
Visakhapatnam,"Vizag, Vizagapatam",17.68009,83.20161,Great-Britain,1630,1850
Yanam,"Janam, Yanam, Yanaon",16.73308,82.21364,France,1723,1954
Zanzibar,,-6.16394,39.19793,Portugal,1505,1698
Zanzibar,,-6.16394,39.19793,Great-Britain,1890,1963
